ID,Project_Code,PQ,PO/SO,ASN/DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule/Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
5645,102-BW-T01,Pre-PQ Process,SCMS-18730,ASN-1608,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/11/08,23-Jun-08,4-Jun-08,4-Jun-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,200,14398.0,71.99,0.72,Inverness Japan,Yes,46,1028.18,23.04,1028.18,46
43344,101-CD-T30,FPQ-12093,SCMS-189070,ASN-20218,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,4/23/13,5/17/13,28-Nov-13,28-Nov-13,3-Dec-13,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,1014,1267.5,1.25,0.04,"Aurobindo Unit III, India",No,See ASN-20218 (ID#:20450),See ASN-20218 (ID#:20450),1.57,2782.94,81
84185,110-ZM-T30,FPQ-9472,SO-41711,DN-2805,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,3/8/12,N/A - From RDC,31-Aug-12,7-Sep-12,7-Sep-12,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,155202,591319.62,3.81,0.13,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,11334,7317.48,829.03,7317.48,11334
84512,114-UG-T30,FPQ-4454,SO-34280,DN-1540,Uganda,PMO - US,From RDC,N/A - From RDC,Air,9/25/09,N/A - From RDC,7-Dec-09,2-Dec-09,2-Dec-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1300,3770.0,2.9,0.05,"Aurobindo Unit III, India",Yes,125,2697.65,7.39,2697.65,125
10623,112-NG-T01,Pre-PQ Process,SO-565,DN-373,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-Sep-07,20-Sep-07,20-Sep-07,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine+Nevirapine 150/300+200mg, tablets, co-blister, 60+60 Tabs",Lamivudine/Zidovudine+Nevirapine,Generic,150/300+200mg,Tablet - FDC + co-blister,120,9980,204590.0,20.5,0.17,"Aspen-OSD, Port Elizabeth, SA",Yes,2846,13873,327.34,13873,2846
2687,108-VN-T01,Pre-PQ Process,SCMS-169,ASN-272,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/15/06,14-Mar-07,14-Mar-07,14-Mar-07,ARV,Pediatric,CIPLA LIMITED,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,1000,2440.0,2.44,0.01,"Cipla, Goa, India",No,See ASN-272 (ID#:1282),See ASN-272 (ID#:1282),,18772.94,2575
39769,102-SD-T30,FPQ-8264,SCMS-121852,ASN-13538,Sudan,PMO - US,Direct Drop,EXW,Air,9/7/11,9/14/11,20-Feb-12,20-Feb-12,20-Feb-12,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,,Test kit - Ancillary,100,2,16.0,8.0,0.08,"Alere Medical Co., Ltd.",Yes,2,980.7,0.03,980.7,2
47853,109-TZ-T30,FPQ-4157,SCMS-52775,ASN-5402,Tanzania,PMO - US,Direct Drop,EXW,Air,8/27/09,9/3/09,18-Jan-10,18-Jan-10,18-Jan-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,2024,141680.0,70.0,0.7,Inverness Japan,Yes,461,6923.2,277.69,6923.2,461
14348,133-NG-T30,FPQ-7553,SCMS-108720,ASN-11270,Nigeria,PMO - US,Direct Drop,EXW,Air,4/28/11,5/23/11,27-Jul-11,27-Jul-11,27-Jul-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2044,181916.0,89.0,0.89,Inverness Japan,Yes,976,26014.88,300.16,26014.88,976
5857,107-RW-T01,Pre-PQ Process,SCMS-25140,ASN-2116,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/12/08,22-Jul-08,22-Jul-08,22-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,4327,302890.0,70.0,0.7,Inverness Japan,Yes,986,26574.61,484.62,26574.61,986
85770,100-BJ-T30,FPQ-7658,SO-39780,DN-2251,Benin,PMO - US,From RDC,N/A - From RDC,Air,5/15/11,N/A - From RDC,4-Jul-11,30-Jun-11,30-Jun-11,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,15000,123900.0,8.26,0.14,"Aurobindo Unit III, India",Yes,1440,6477.67,204.44,6477.67,1440
83565,101-CD-T30,FPQ-8840,SO-41148,DN-2512,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,11/21/11,N/A - From RDC,16-Mar-12,14-Mar-12,14-Mar-12,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,2463,4802.85,1.95,0.01,"Aurobindo Unit III, India",No,See DN-2512 (ID#:82443),See DN-2512 (ID#:82443),6.73,5636.3,1072
72158,109-TZ-T30,FPQ-5174,SCMS-66910,ASN-6720,Tanzania,PMO - US,Direct Drop,FCA,Air,3/1/10,3/12/10,11-Jun-10,11-Jun-10,11-Jun-10,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,7145,258363.2,36.16,0.3,ABBVIE Ludwigshafen Germany,Yes,1604,9915.56,557.03,9915.56,1604
68361,108-VN-T30,FPQ-10286,SCMS-156270,ASN-17262,Vietnam,PMO - US,Direct Drop,EXW,Air,7/25/12,8/14/12,19-Dec-12,19-Dec-12,19-Dec-12,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,10508,43608.2,4.15,0.07,Mylan (formerly Matrix) Nashik,Yes,678,2148.1,61.14,2148.1,678
12926,117-ET-T01,Pre-PQ Process,SO-34350,DN-1502,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,27-Oct-09,27-Oct-09,27-Oct-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,12873,37331.7,2.9,0.05,"Aurobindo Unit III, India",Yes,1258,6027.68,80.49,6027.68,1258
10673,110-ZM-T01,Pre-PQ Process,SO-2730,DN-821,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,29-Jul-08,29-Jul-08,29-Jul-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,50000,360000.0,7.2,0.12,"Strides, Bangalore, India.",Yes,3679,5014.65,576.0,5014.65,3679
85878,104-CI-T30,FPQ-8790,SO-41180,DN-2751,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,11/11/11,N/A - From RDC,31-Jul-12,31-Jul-12,31-Jul-12,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,45000,347400.0,7.72,0.13,"Aurobindo Unit III, India",Yes,4050,11592.26,487.05,11592.26,4050
11622,151-NG-T01,Pre-PQ Process,SO-21781,DN-1130,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,24-Mar-09,24-Mar-09,24-Mar-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,143,3753.75,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,14,6443.61,7.36,6443.61,14
83423,114-UG-T30,FPQ-4495,SO-34940,DN-1801,Uganda,PMO - US,From RDC,N/A - From RDC,Air,10/28/09,N/A - From RDC,3-May-10,3-May-10,3-May-10,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,2579,12250.25,4.75,0.16,"Aurobindo Unit III, India",Yes,358,2485.92,26.41,2485.92,358
83973,117-ET-T30,FPQ-4828,SO-35470,DN-1616,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,12/28/09,N/A - From RDC,28-Feb-10,15-Jan-10,15-Jan-10,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,16019,140326.44,8.76,0.15,"Aurobindo Unit III, India",Yes,1454,5187.5,302.54,5187.5,1454
54965,102-KE-T30,FPQ-6114,SCMS-80820,ASN-8590,Kenya,PMO - US,Direct Drop,EXW,Air,7/23/10,8/27/10,12-Nov-10,12-Nov-10,12-Nov-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1,89.0,89.0,0.89,Inverness Japan,Yes,1233,13753.58,0.19,13753.58,1233
12920,111-MZ-T01,Pre-PQ Process,SO-26425,DN-1455,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,17-Sep-09,17-Sep-09,17-Sep-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,1604,11420.48,7.12,0.12,"Strides, Bangalore, India.",Yes,120,1799.88,22.38,1799.88,120
48516,106-HT-T30,FPQ-15038,SCMS-262950,ASN-30813,Haiti,PMO - US,Direct Drop,EXW,Air,10/22/14,12/24/14,30-Mar-15,30-Mar-15,31-Mar-15,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,100mg,Capsule,100,120,540.0,4.5,0.04,"Aurobindo Unit III, India",Yes,9,820.56,0.56,820.56,9
11242,110-ZM-T01,Pre-PQ Process,SO-1891,DN-676,Zambia,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,1-Apr-08,1-Apr-08,1-Apr-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,32358,110017.2,3.4,0.06,"Ranbaxy, Paonta Shahib, India",Yes,3146,13332,176.03,13332,3146
34614,111-MZ-T30,FPQ-5613,SCMS-81040,ASN-8356,Mozambique,PMO - US,Direct Drop,EXW,Air,6/20/10,8/10/10,4-Nov-10,4-Nov-10,4-Nov-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,212,16960.0,80.0,0.8,Inverness Japan,Yes,97,1910.93,36.57,1910.93,97
14941,109-TZ-T30,FPQ-6203,SCMS-82750,ASN-8080,Tanzania,PMO - US,Direct Drop,EXW,Air,8/18/10,8/25/10,22-Oct-10,22-Oct-10,22-Oct-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,9000,179100.0,19.9,0.66,Mylan (formerly Matrix) Nashik,Yes,1081,5834.1,386.14,5834.1,1081
70912,107-RW-T30,FPQ-13874,SCMS-232310,ASN-25542,Rwanda,PMO - US,Direct Drop,EXW,Air,3/12/14,4/3/14,28-Apr-14,28-Apr-14,28-Apr-14,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,,Test kit,1,5994,146853.0,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,3996,53062.21,150.96,53062.21,3996
86387,151-NG-T30,FPQ-6800,SO-39690,DN-2228,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,12/7/10,N/A - From RDC,21-Jun-11,5-Jul-11,5-Jul-11,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,17376,43613.76,2.51,0.04,"Strides, Bangalore, India.",Yes,1237,13398.06,71.96,13398.06,1237
11472,110-ZM-T01,Pre-PQ Process,SO-1073,DN-371,Zambia,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,21-Sep-07,21-Sep-07,21-Sep-07,ARV,Pediatric,SCMS from RDC,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Stavudine,Generic,1mg/ml,Oral solution,200,2950,4277.5,1.45,0.01,"Aurobindo Unit III, India",Yes,267,3094,6.84,3094,267
54296,161-ZA-T30,FPQ-5648,SCMS-75750,ASN-9197,South Africa,PMO - US,Direct Drop,DDP,Ocean,6/2/10,6/17/10,1-Feb-11,1-Feb-11,1-Feb-11,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,32083,144694.33,4.51,0.15,"Aurobindo Unit III, India",Yes,2808,630.5,311.96,630.5,2808
16277,117-ET-T30,FPQ-9096,SCMS-133330,ASN-14559,Ethiopia,PMO - US,Direct Drop,EXW,Air,1/5/12,1/23/12,25-Apr-12,25-Apr-12,25-Apr-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,26,832.0,32.0,1.6,"Trinity Biotech, Plc",Yes,17,334.65,1.17,334.65,17
85074,104-CI-T30,FPQ-4187,SO-33471,DN-1534,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,9/9/09,N/A - From RDC,1-Dec-09,2-Dec-09,2-Dec-09,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,3444,7714.56,2.24,0.07,"Aurobindo Unit III, India",Yes,200,1211.48,15.12,1211.48,200
39659,102-BI-T30,FPQ-10907,SCMS-167290,ASN-17563,Burundi,PMO - US,Direct Drop,EXW,Air,11/7/12,11/21/12,4-Jan-13,4-Jan-13,4-Jan-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1472,117760.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,638,16189.94,145.67,16189.94,638
83986,104-CI-T30,FPQ-4378,SO-34414,DN-1676,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,10/15/09,N/A - From RDC,9-Mar-10,10-Mar-10,10-Mar-10,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,769,7743.83,10.07,0.11,"Aurobindo Unit III, India",Yes,93,4519.96,15.18,4519.96,93
18269,111-MZ-T30,FPQ-10606,SCMS-162160,ASN-17088,Mozambique,PMO - US,Direct Drop,EXW,Air,9/12/12,10/10/12,25-Dec-12,25-Dec-12,25-Dec-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Kit without Lancets, Buffer or Caplillary Tubes, 100 Tests","HIV 1/2, Determine Kit without Lancets, Buffer or Capillary Tubes, 100 Tests",Determine,,Test kit,100,81,5844.15,72.15,0.72,"Alere Medical Co., Ltd.",Yes,16,467.26,8.19,467.26,16
82714,104-CI-T30,FPQ-14370,SO-49100,DN-3851,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,5/23/14,N/A - From RDC,31-Oct-14,18-Aug-14,5-Sep-14,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs",Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,2756,37261.12,13.52,0.45,"Cipla, Patalganga, India",Yes,248,1933.72,38.3,1933.72,248
67806,107-RW-T30,FPQ-8742,SCMS-137410,ASN-15442,Rwanda,PMO - US,Direct Drop,EXW,Air,12/7/11,5/18/12,20-Jul-12,20-Jul-12,20-Jul-12,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3007,10734.99,3.57,0.12,Hetero Unit III Hyderabad IN,Yes,262,3840.85,15.05,3840.85,262
11564,105-GY-T01,Pre-PQ Process,SO-18470,DN-1017,Guyana,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,21-Nov-08,21-Nov-08,21-Nov-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,416,3286.4,7.9,0.13,"Aurobindo Unit III, India",Yes,49,1465.71,6.44,1465.71,49
74609,101-KE-T30,FPQ-10314,SCMS-153910,ASN-17660,Kenya,PMO - US,Direct Drop,CIP,Air,7/12/12,11/6/12,28-Feb-13,28-Feb-13,28-Feb-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1,89.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1476,91.66,0.12,91.66,1476
82505,110-ZM-T30,FPQ-8476,SO-40956,DN-2832,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,9/27/11,N/A - From RDC,17-Sep-12,7-Sep-12,7-Sep-12,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,16258,109904.08,6.76,0.11,Mylan (formerly Matrix) Nashik,Yes,2321,7317.48,181.34,7317.48,2321
24934,151-NG-T30,FPQ-5124,SCMS-66900,ASN-6712,Nigeria,PMO - US,Direct Drop,FCA,Air,2/15/10,3/5/10,21-Jun-10,21-Jun-10,21-Jun-10,ARV,Adult,Hoffmann-La Roche ltd Basel,"Saquinavir 500mg [Invirase], tablets, 120 Tabs",Saquinavir,Invirase,500mg,Tablet,120,430,40713.32,94.68,0.79,Roche Basel,Yes,77,729.03,87.78,729.03,77
84328,104-CI-T30,FPQ-12800,SO-46351,DN-3511,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,8/9/13,N/A - From RDC,31-Jan-14,18-Feb-14,4-Mar-14,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,9500,38000.0,4.0,0.07,"Aurobindo Unit III, India",Yes,449,3051.95,47.01,3051.95,449
82345,151-NG-T30,FPQ-5023,SO-36413,DN-1967,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2/10/10,N/A - From RDC,9-Aug-10,17-Aug-10,17-Aug-10,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,6203,72885.25,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,560,6147.18,157.14,6147.18,560
83544,151-NG-T30,FPQ-7812,SO-40723,DN-2395,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,6/6/11,N/A - From RDC,5-Dec-11,13-Oct-11,13-Oct-11,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,94848,1064194.56,11.22,0.19,Mylan (formerly Matrix) Nashik,No,See DN-2395 (ID#:82415),See DN-2395 (ID#:82415),1755.92,21326.73,28277
1954,108-VN-T01,Pre-PQ Process,SCMS-27290,ASN-2854,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/24/08,2-Dec-08,2-Dec-08,2-Dec-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,434,35674.8,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,113,2709.98,69.92,2709.98,113
15240,106-HT-T30,FPQ-14083,SCMS-240220,ASN-26559,Haiti,PMO - US,Direct Drop,EXW,Air,5/11/14,6/2/14,18-Jul-14,18-Jul-14,31-Jul-14,ARV,Pediatric,Aurobindo Pharma Limited,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,375,2561.25,6.83,0.03,"Aurobindo Unit III, India",Yes,300,2949.23,2.63,2949.23,300
10786,110-ZM-T01,Pre-PQ Process,SO-31950,DN-1361,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,4-Sep-09,4-Sep-09,4-Sep-09,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,9700,74787.0,7.71,0.13,"Aurobindo Unit III, India",Yes,551,2448.71,146.58,2448.71,551
85145,102-UG-T30,FPQ-6202,SO-37280,DN-2002,Uganda,PMO - US,From RDC,N/A - From RDC,Air,8/6/10,N/A - From RDC,30-Sep-10,2-Sep-10,2-Sep-10,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,40213,343821.15,8.55,0.14,Hetero Unit III Hyderabad IN,Yes,3457,35689.71,741.28,35689.71,3457
30601,110-ZM-T30,FPQ-4691,SCMS-60711,ASN-6614,Zambia,PMO - US,Direct Drop,EXW,Air,12/16/09,12/22/09,3-May-10,23-Apr-10,23-Apr-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2700,194400.0,72.0,0.72,Inverness Japan,Yes,1304,19502.09,419.13,19502.09,1304
78387,114-UG-T30,FPQ-5837,SCMS-80710,ASN-7974,Uganda,PMO - US,Direct Drop,DDU,Air,6/25/10,8/11/10,1-Sep-10,1-Sep-10,1-Sep-10,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,50,4199.01,83.98,0.7,"Janssen-Cilag, Latina, IT",Yes,10,435,9.05,435,10
10086,117-ET-T01,Pre-PQ Process,SCMS-32410,ASN-3259,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/22/08,30-Jan-09,30-Jan-09,30-Jan-09,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,3711,100197.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,1341,6112.63,196.39,6112.63,1341
82880,151-NG-T30,FPQ-4537,SO-35110,DN-1777,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/6/09,N/A - From RDC,31-Mar-10,18-May-10,18-May-10,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine+Efavirenz 150/300mg+600mg, tablets, co-blister 60+30 Tabs",Lamivudine/Zidovudine+Efavirenz,Generic,150/300mg+600mg,Tablet - FDC + co-blister,90,854,23485.0,27.5,0.31,"Aurobindo Unit III, India",Yes,142,9736.1,50.63,9736.1,142
85200,113-ZW-T30,FPQ-7052,SO-38512,DN-2343,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,1/19/11,N/A - From RDC,30-Sep-11,7-Oct-11,7-Oct-11,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,9226,49635.88,5.38,0.09,"Cipla, Goa, India",No,See DN-2343 (ID#:82977),See DN-2343 (ID#:82977),81.9,12956.94,5154
69179,161-ZA-T30,FPQ-6708,SCMS-93590,ASN-10512,South Africa,PMO - US,Direct Drop,DDP,Ocean,11/26/10,12/14/10,30-May-11,30-May-11,30-May-11,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,150000,1029000.0,6.86,0.23,"Cipla, Goa, India",Yes,10156,13731.6,1697.85,13731.6,10156
26440,110-ZM-T30,FPQ-6263,SCMS-87290,ASN-8998,Zambia,PMO - US,Direct Drop,EXW,Air,9/8/10,10/7/10,17-Dec-10,17-Dec-10,17-Dec-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2730,218400.0,80.0,0.8,Inverness Japan,Yes,1318,21737.72,470.87,21737.72,1318
14097,102-BI-T30,FPQ-14594,SCMS-250110,ASN-28194,Burundi,PMO - US,Direct Drop,EXW,Air,7/17/14,8/6/14,6-Oct-14,6-Oct-14,6-Oct-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,3484,278720.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1415,33228.68,286.52,33228.68,1415
